level,result,timeLeftSeconds,coinsEarned,coinsSpent,spentOn,livesLeft,offerShown,offerType,offerPriceInr,eventOrPassUnlocked
1,win,0,0,0,none,,false,,,
2,win,0,100,0,none,5,false,,,
3,win,0,0,0,none,5,true,booster_pre_level_tutorial_use,,
4,win,0,0,0,none,5,true,booster_in_level_locked,,
5,win,0,0,0,none,5,true,booster_pre_level_tutorial_use,,
6,win,0,0,0,none,5,true,booster_in_level_locked,,
7,win,0,0,0,none,5,true,booster_pre_level_tutorial_use,,
8,win,0,0,0,none,5,true,booster_in_level_locked,,
9,win,0,0,0,none,5,true,booster_pre_level_tutorial_use,,
10,win,0,0,0,none,5,true,booster_in_level_locked,,
11,win,0,0,0,none,5,true,booster_in_level_unlocked_tutorial_use,,
12,win,0,0,0,none,5,true,booster_in_level_unlocked_unused,,
13,win,0,0,0,none,5,true,booster_in_level_unlocked_tutorial_use,,
14,win,0,0,0,none,5,true,booster_in_level_unlocked_unused,,
15,win,0,0,0,none,5,true,event,,"Key Challenge Event displayed, 1000 Coins prize (1499 INR, non-bundle version / 1950 INR, Mega Bundle version)"
16,win,0,0,0,none,infinite,true,booster_in_level_unlocked_unused,,
17,win,0,0,0,none,infinite,true,booster_in_level_unlocked_unused,,
18,win,0,0,0,none,infinite,true,booster_in_level_unlocked_infinite_use,,
19,win,0,0,0,none,infinite,true,booster_chiefs_tool_unlocked_tutorial_use,,
20,win,0,0,0,none,5,true,booster_in_level_unlocked_infinite_use,,
21,win,0,0,0,none,5,true,booster_in_level_unlocked_infinite_use,,
22,win,0,0,0,none,10,false,,,
23,win,0,0,0,none,10,true,coin_bundle,199,
24,win,0,0,0,none,10,false,,,
25,win,0,0,0,none,infinite,true,event,,
26,win,0,0,0,none,infinite,false,,,
27,win,0,0,0,none,infinite,false,,,
28,win,0,0,0,none,10,true,event,,
29,win,0,0,0,none,10,false,,,
30,win,0,0,0,none,infinite,true,event,,
31,fail,0,0,0,none,infinite,true,event,,
31,win,0,0,0,none,infinite,false,,,
32,win,0,0,0,none,infinite,false,,,
33,win,0,0,0,none,infinite,true,pass,999,Factory Pass
34,fail,0,0,0,none,infinite,false,,,
34,fail,0,0,0,none,infinite,false,,,
34,win,0,0,0,none,infinite,false,,,
35,win,0,30,0,none,infinite,true,event,,
36,win,0,0,0,none,infinite,false,,,
37,fail,0,0,0,none,infinite,false,,,
37,win,0,0,0,none,infinite,false,,,
38,win,0,0,0,none,infinite,false,,,
39,win,0,10,0,none,infinite,false,,,
40,win,0,0,0,none,10,true,event,,
41,win,0,0,0,none,10,false,,,
42,win,0,50,0,none,10,false,,,
43,win,0,0,0,none,10,true,event,,
44,win,0,0,0,none,10,false,,,
45,win,0,0,0,none,infinite,false,,,
46,win,0,170,0,none,infinite,false,,,
47,win,0,0,0,none,infinite,false,,,
48,win,0,0,0,none,infinite,false,,,
49,win,0,0,100,booster,infinite,false,,,
50,win,0,0,0,none,infinite,false,,,
51,win,0,0,0,none,infinite,false,,,
52,win,0,100,0,none,infinite,false,,,
